Date_of_journey,Journey_day,Airline,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Fare
2023-02-22,Wednesday,Vistara,Business,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,26.25,41549
2023-01-23,Monday,Indigo,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Hyderabad,6.25,10519
2023-02-19,Sunday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,14.8333,13136
2023-01-20,Friday,Vistara,Business,Chennai,6 AM - 12 PM,2+-stop,12 PM - 6 PM,Delhi,8.5833,64889
2023-02-06,Monday,Indigo,Economy,Hyderabad,Before 6 AM,1-stop,12 PM - 6 PM,Chennai,6.75,4412
2023-02-12,Sunday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,2+-stop,6 AM - 12 PM,Kolkata,27.0,13704
2023-02-10,Friday,Vistara,Business,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Chennai,7.9167,68989
2023-03-02,Thursday,Air India,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Chennai,27.0,11547
2023-02-02,Thursday,Indigo,Economy,Ahmedabad,12 PM - 6 PM,non-stop,12 PM - 6 PM,Chennai,2.4167,5159
2023-02-05,Sunday,Air India,Business,Ahmedabad,After 6 PM,1-stop,After 6 PM,Bangalore,22.75,75556
2023-01-28,Saturday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,24.3333,29094
2023-02-06,Monday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,16.0,53761
2023-02-10,Friday,Vistara,Business,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,9.5833,47220
2023-02-17,Friday,Vistara,Premium Economy,Delhi,After 6 PM,1-stop,After 6 PM,Chennai,23.1667,12004
2023-02-16,Thursday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,10.3333,16189
2023-03-05,Sunday,Indigo,Economy,Ahmedabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Hyderabad,1.9167,5058
2023-02-28,Tuesday,Air India,Business,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,19.3333,43889
2023-02-28,Tuesday,Vistara,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Chennai,15.9167,44475
2023-02-12,Sunday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,24.75,18237
2023-03-03,Friday,Vistara,Premium Economy,Delhi,12 PM - 6 PM,2+-stop,12 PM - 6 PM,Ahmedabad,26.9167,16012
2023-03-03,Friday,Indigo,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.8333,5809
2023-02-27,Monday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,13.5833,49713
2023-02-21,Tuesday,AirAsia,Economy,Hyderabad,6 AM - 12 PM,2+-stop,Before 6 AM,Kolkata,14.0,8994
2023-01-21,Saturday,Vistara,Business,Delhi,After 6 PM,2+-stop,6 AM - 12 PM,Kolkata,12.3333,61307
2023-02-17,Friday,Vistara,Business,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,12.0,84774
2023-02-03,Friday,Air India,Business,Hyderabad,After 6 PM,1-stop,After 6 PM,Delhi,21.9167,39734
2023-02-28,Tuesday,AirAsia,Economy,Bangalore,Before 6 AM,1-stop,6 AM - 12 PM,Delhi,5.25,6190
2023-02-18,Saturday,Air India,Economy,Kolkata,6 AM - 12 PM,2+-stop,After 6 PM,Hyderabad,13.8333,13604
2023-02-08,Wednesday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,2+-stop,After 6 PM,Ahmedabad,8.3333,42708
2023-02-05,Sunday,Vistara,Economy,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Delhi,16.1667,11892
2023-01-30,Monday,Air India,Economy,Chennai,Before 6 AM,1-stop,6 AM - 12 PM,Kolkata,5.6667,13885
2023-01-22,Sunday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,23.3333,14617
2023-02-05,Sunday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,6.1667,7151
2023-02-28,Tuesday,Air India,Economy,Chennai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.5833,8217
2023-02-26,Sunday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,21.0,17614
2023-02-14,Tuesday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.25,10906
2023-01-25,Wednesday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,7.9167,13635
2023-02-13,Monday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Delhi,14.0,10253
2023-02-12,Sunday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.5833,11396
2023-02-17,Friday,Vistara,Economy,Bangalore,6 AM - 12 PM,2+-stop,After 6 PM,Chennai,32.6667,18481
2023-02-12,Sunday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,15.1667,8096
2023-01-28,Saturday,Air India,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,9.8333,24218
2023-02-05,Sunday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,7.4167,7940
2023-02-10,Friday,Indigo,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,8.25,7617
2023-01-19,Thursday,AirAsia,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.5833,22965
2023-02-27,Monday,Indigo,Economy,Bangalore,After 6 PM,non-stop,Before 6 AM,Kolkata,2.4167,7264
2023-01-27,Friday,Indigo,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.4167,7098
2023-02-11,Saturday,Vistara,Business,Chennai,After 6 PM,1-stop,After 6 PM,Mumbai,24.1667,57665
2023-01-25,Wednesday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,1-stop,Before 6 AM,Mumbai,17.75,18534
2023-01-28,Saturday,Vistara,Premium Economy,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,15.5,23696
2023-01-17,Tuesday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,19.8333,53697
2023-02-28,Tuesday,Vistara,Business,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,7.0833,51942
2023-03-02,Thursday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,16.8333,11734
2023-03-04,Saturday,Vistara,Business,Kolkata,After 6 PM,1-stop,After 6 PM,Bangalore,25.6667,60996
2023-02-09,Thursday,Vistara,Business,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Chennai,15.6667,51942
2023-01-30,Monday,GO FIRST,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.0,11981
2023-02-25,Saturday,Vistara,Economy,Bangalore,6 AM - 12 PM,non-stop,12 PM - 6 PM,Delhi,2.9167,6603
2023-03-06,Monday,Vistara,Premium Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Chennai,29.0,18078
2023-02-12,Sunday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.4167,43680
2023-02-20,Monday,Vistara,Business,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.1667,56937
2023-01-28,Saturday,Vistara,Business,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.3333,53152
2023-02-18,Saturday,Indigo,Economy,Bangalore,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,4.9167,5659
2023-01-31,Tuesday,AirAsia,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,11.5833,5497
2023-02-19,Sunday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,4.6667,8510
2023-02-22,Wednesday,Vistara,Premium Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,10.1667,11120
2023-03-04,Saturday,Vistara,Premium Economy,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,15.0833,14579
2023-01-24,Tuesday,Air India,Economy,Bangalore,Before 6 AM,1-stop,After 6 PM,Kolkata,13.25,15213
2023-02-21,Tuesday,Vistara,Business,Ahmedabad,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,26.0,32372
2023-01-18,Wednesday,Vistara,Economy,Ahmedabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Kolkata,18.0,29981
2023-02-22,Wednesday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,4.25,4173
2023-01-21,Saturday,AkasaAir,Economy,Ahmedabad,12 PM - 6 PM,non-stop,12 PM - 6 PM,Bangalore,2.0833,6890
2023-02-28,Tuesday,Vistara,Business,Ahmedabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,26.5833,35587
2023-02-15,Wednesday,Indigo,Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Ahmedabad,1.25,2795
2023-03-01,Wednesday,Vistara,Business,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,8.4167,39790
2023-02-01,Wednesday,Vistara,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Chennai,15.1667,49613
2023-02-16,Thursday,Indigo,Economy,Mumbai,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,8.4167,4485
2023-02-02,Thursday,Vistara,Economy,Bangalore,6 AM - 12 PM,2+-stop,6 AM - 12 PM,Kolkata,26.1667,13414
2023-02-25,Saturday,Indigo,Economy,Delhi,After 6 PM,1-stop,After 6 PM,Mumbai,4.9167,6067
2023-02-24,Friday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.5833,53152
2023-01-30,Monday,Vistara,Business,Hyderabad,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,18.5,90806
2023-02-26,Sunday,Indigo,Economy,Mumbai,Before 6 AM,1-stop,6 AM - 12 PM,Delhi,3.8333,5943
2023-01-25,Wednesday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,11.0833,17581
2023-01-30,Monday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,9.6667,11582
2023-02-16,Thursday,Vistara,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Chennai,26.3333,11220
2023-02-21,Tuesday,Indigo,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,4.5,6931
2023-01-16,Monday,Vistara,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Delhi,12.0,58514
2023-02-12,Sunday,Indigo,Economy,Kolkata,12 PM - 6 PM,non-stop,After 6 PM,Hyderabad,2.25,7662
2023-02-26,Sunday,Vistara,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,9.4167,41549
2023-01-20,Friday,Vistara,Business,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,9.6667,43878
2023-02-04,Saturday,Air India,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,11.8333,10952
2023-01-21,Saturday,Vistara,Economy,Kolkata,After 6 PM,1-stop,After 6 PM,Bangalore,26.1667,13505
2023-02-22,Wednesday,Indigo,Economy,Hyderabad,After 6 PM,1-stop,After 6 PM,Delhi,5.0833,8258
2023-01-28,Saturday,Vistara,Business,Delhi,Before 6 AM,1-stop,After 6 PM,Hyderabad,15.1667,39377
2023-02-10,Friday,Vistara,Business,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,25.0833,38334
2023-02-12,Sunday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,1-stop,Before 6 AM,Hyderabad,15.25,12262
2023-02-07,Tuesday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,22.1667,5542
2023-02-24,Friday,Vistara,Premium Economy,Kolkata,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,13.5833,13471
2023-02-05,Sunday,Air India,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,7.3333,44507
2023-01-28,Saturday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,10.5833,19711
2023-01-20,Friday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,7.5,25717
2023-02-19,Sunday,Vistara,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,20.0,8927
2023-02-15,Wednesday,Indigo,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,6.3333,10280
2023-02-26,Sunday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.4167,45156
2023-03-01,Wednesday,Indigo,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Delhi,8.0,5659
2023-03-01,Wednesday,GO FIRST,Economy,Ahmedabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Kolkata,2.3333,7996
2023-02-05,Sunday,Air India,Business,Ahmedabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,28.5833,59893
2023-01-22,Sunday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,5.25,80380
2023-03-04,Saturday,AirAsia,Economy,Bangalore,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,9.9167,3893
2023-02-21,Tuesday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.0833,59033
2023-03-02,Thursday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,7.25,21817
2023-02-03,Friday,Vistara,Economy,Mumbai,After 6 PM,1-stop,After 6 PM,Chennai,24.5833,14606
2023-02-06,Monday,Air India,Business,Bangalore,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,9.75,54879
2023-03-04,Saturday,Vistara,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.8333,12079
2023-01-29,Sunday,Air India,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,11.9167,33814
2023-03-02,Thursday,SpiceJet,Economy,Bangalore,After 6 PM,non-stop,After 6 PM,Kolkata,2.6667,9313
2023-02-04,Saturday,Vistara,Business,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Chennai,11.5,57565
2023-02-20,Monday,Indigo,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Chennai,7.8333,11092
2023-02-18,Saturday,Indigo,Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Bangalore,1.9167,3465
2023-01-22,Sunday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,24.6667,53761
2023-02-04,Saturday,Vistara,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,13.0,4893
2023-01-23,Monday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Mumbai,24.8333,15791
2023-02-25,Saturday,Vistara,Economy,Kolkata,6 AM - 12 PM,1-stop,Before 6 AM,Bangalore,17.6667,13167
2023-02-26,Sunday,Vistara,Business,Kolkata,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.6667,49024
2023-02-20,Monday,Vistara,Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,21.3333,10801
2023-02-27,Monday,Vistara,Business,Bangalore,12 PM - 6 PM,1-stop,12 PM - 6 PM,Hyderabad,18.75,56783
2023-03-06,Monday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Kolkata,27.5833,13178
2023-03-02,Thursday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Delhi,13.0,7347
2023-03-04,Saturday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,2+-stop,After 6 PM,Mumbai,11.75,14251
2023-02-07,Tuesday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Delhi,12.25,50668
2023-02-26,Sunday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,8.5,55537
2023-02-09,Thursday,Air India,Economy,Delhi,6 AM - 12 PM,2+-stop,After 6 PM,Ahmedabad,33.0,12930
2023-03-01,Wednesday,Vistara,Business,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,7.4167,52193
2023-01-21,Saturday,Air India,Business,Bangalore,After 6 PM,1-stop,After 6 PM,Ahmedabad,24.6667,32617
2023-01-31,Tuesday,Vistara,Business,Ahmedabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,16.75,59383
2023-02-02,Thursday,Vistara,Economy,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Delhi,18.9167,16485
2023-01-29,Sunday,Vistara,Business,Kolkata,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,22.25,71076
2023-03-05,Sunday,AkasaAir,Economy,Bangalore,6 AM - 12 PM,non-stop,12 PM - 6 PM,Ahmedabad,2.3333,6210
2023-01-23,Monday,Air India,Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,25.4167,12972
2023-01-20,Friday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,10.8333,22285
2023-02-11,Saturday,Vistara,Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Chennai,23.9167,7684
2023-03-05,Sunday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,5.25,41224
2023-03-04,Saturday,Vistara,Business,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,19.0,36294
2023-02-26,Sunday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,9.1667,53152
2023-03-04,Saturday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,23.6667,10381
2023-02-12,Sunday,Vistara,Economy,Ahmedabad,After 6 PM,1-stop,After 6 PM,Chennai,26.1667,10909
2023-03-04,Saturday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,11.0833,9231
2023-02-27,Monday,Indigo,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Bangalore,6.25,5238
2023-03-06,Monday,Vistara,Business,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,20.5,49713
2023-02-20,Monday,Indigo,Economy,Delhi,Before 6 AM,1-stop,6 AM - 12 PM,Chennai,6.1667,6774
2023-03-05,Sunday,Air India,Economy,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Kolkata,17.4167,11083
2023-02-20,Monday,Vistara,Business,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,4.75,79297
2023-02-18,Saturday,Vistara,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,13.5833,11684
2023-01-31,Tuesday,Air India,Economy,Ahmedabad,After 6 PM,1-stop,12 PM - 6 PM,Chennai,15.0833,26766
2023-01-21,Saturday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,1.6667,18069
2023-01-19,Thursday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.25,80468
2023-01-28,Saturday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Delhi,13.8333,16636
2023-01-27,Friday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,Before 6 AM,Delhi,18.3333,14467
2023-03-06,Monday,GO FIRST,Economy,Mumbai,After 6 PM,non-stop,Before 6 AM,Delhi,2.1667,5820
2023-01-23,Monday,Vistara,Economy,Chennai,After 6 PM,1-stop,After 6 PM,Delhi,24.6667,20980
2023-01-16,Monday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,5.9167,7265
2023-01-22,Sunday,Air India,Business,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Hyderabad,17.6667,63601
2023-02-18,Saturday,Vistara,Premium Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Chennai,11.25,12004
2023-02-02,Thursday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,8.5,61833
2023-02-16,Thursday,Air India,Business,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,11.5,44405
2023-02-17,Friday,AirAsia,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Delhi,7.8333,6190
2023-01-31,Tuesday,Vistara,Premium Economy,Delhi,After 6 PM,2+-stop,12 PM - 6 PM,Hyderabad,18.25,12968
2023-03-05,Sunday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,2+-stop,After 6 PM,Bangalore,32.25,13179
2023-02-26,Sunday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,9.0833,14334
2023-02-13,Monday,Air India,Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,13.1667,9419
2023-02-16,Thursday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,26.0833,8234
2023-01-24,Tuesday,Vistara,Premium Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,8.0833,22398
2023-02-23,Thursday,Indigo,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,6.25,9524
2023-02-21,Tuesday,Indigo,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,6.3333,7526
2023-01-25,Wednesday,Vistara,Premium Economy,Ahmedabad,Before 6 AM,1-stop,After 6 PM,Chennai,14.75,23913
2023-02-04,Saturday,AirAsia,Economy,Bangalore,Before 6 AM,1-stop,12 PM - 6 PM,Delhi,7.5833,5658
2023-01-19,Thursday,Air India,Economy,Ahmedabad,After 6 PM,1-stop,After 6 PM,Kolkata,27.1667,25191
2023-02-10,Friday,Vistara,Premium Economy,Chennai,After 6 PM,1-stop,After 6 PM,Kolkata,22.5,17614
2023-02-17,Friday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Delhi,9.5833,12675
2023-02-01,Wednesday,GO FIRST,Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,13.9167,8392
2023-01-18,Wednesday,Air India,Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Delhi,23.4167,8388
2023-03-06,Monday,AkasaAir,Economy,Ahmedabad,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,1.3333,2238
2023-02-08,Wednesday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,14.0,22179
2023-02-25,Saturday,Air India,Business,Ahmedabad,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,13.4167,75556
2023-01-26,Thursday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,14.9167,15520
2023-02-15,Wednesday,SpiceJet,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,21.25,5388
2023-02-04,Saturday,Vistara,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,8.9167,10551
2023-01-26,Thursday,GO FIRST,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,13.5,10210
2023-02-04,Saturday,Vistara,Economy,Ahmedabad,Before 6 AM,1-stop,12 PM - 6 PM,Delhi,7.5833,12748
2023-02-04,Saturday,GO FIRST,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,4.8333,9538
2023-02-05,Sunday,Vistara,Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,15.5,11485
2023-02-22,Wednesday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,23.5,12262
2023-01-25,Wednesday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Chennai,10.8333,14793
2023-03-05,Sunday,Vistara,Economy,Mumbai,After 6 PM,non-stop,After 6 PM,Bangalore,1.75,5345
2023-02-26,Sunday,Vistara,Business,Hyderabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,14.6667,63512
2023-01-17,Tuesday,Indigo,Economy,Kolkata,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,3.0833,9866
2023-02-08,Wednesday,AirAsia,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,8.9167,6418
2023-01-17,Tuesday,Air India,Business,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Chennai,6.25,65170
2023-02-28,Tuesday,Air India,Business,Mumbai,Before 6 AM,1-stop,After 6 PM,Delhi,18.25,50097
2023-02-12,Sunday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,18.6667,16954
2023-02-01,Wednesday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,8.3333,36894
2023-02-09,Thursday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,12.0,45693
2023-02-14,Tuesday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Bangalore,23.5833,16060
2023-01-20,Friday,AirAsia,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Delhi,13.25,8568
2023-02-27,Monday,Vistara,Business,Chennai,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,8.4167,44304
2023-02-11,Saturday,Vistara,Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Bangalore,1.75,5345
2023-01-17,Tuesday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,6.25,14296
2023-01-28,Saturday,Air India,Business,Bangalore,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,23.3333,56671
2023-02-13,Monday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.9167,11933
2023-02-09,Thursday,Air India,Business,Hyderabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,21.8333,41078
2023-03-02,Thursday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,12.8333,7871
2023-02-26,Sunday,Vistara,Premium Economy,Kolkata,6 AM - 12 PM,2+-stop,6 AM - 12 PM,Mumbai,23.0833,14100
2023-02-17,Friday,Vistara,Economy,Delhi,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Ahmedabad,15.0833,11585
2023-02-15,Wednesday,Indigo,Economy,Mumbai,12 PM - 6 PM,non-stop,12 PM - 6 PM,Delhi,1.8333,6153
2023-02-25,Saturday,Air India,Economy,Ahmedabad,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,14.5,16156
